t,ramp_alpha,dry_run,tilt_trip,reason
8012.315213,1.000000,0,0,"ok"
8012.335221,1.000000,0,0,"ok"
8012.355238,1.000000,0,0,"ok"
8012.375210,1.000000,0,0,"ok"
8012.395145,1.000000,0,0,"ok"
8012.416162,1.000000,0,0,"ok"
8012.435210,1.000000,0,0,"ok"
8012.455238,1.000000,0,0,"ok"
8012.475208,1.000000,0,0,"ok"
8012.495235,1.000000,0,0,"ok"
8012.515207,1.000000,0,0,"ok"
8012.535204,1.000000,0,0,"ok"
8012.555207,1.000000,0,0,"ok"
8012.575219,1.000000,0,0,"ok"
8012.595209,1.000000,0,0,"ok"
8012.615201,1.000000,0,0,"ok"
8012.635226,1.000000,0,0,"ok"
8012.655210,1.000000,0,0,"ok"
8012.675205,1.000000,0,0,"ok"
8012.695145,1.000000,0,0,"ok"
8012.715209,1.000000,0,0,"ok"
8012.735168,1.000000,0,0,"ok"
8012.755242,1.000000,0,0,"ok"
8012.775198,1.000000,0,0,"ok"
8012.795206,1.000000,0,0,"ok"
8012.815196,1.000000,0,0,"ok"
8012.835148,1.000000,0,0,"ok"
8012.855208,1.000000,0,0,"ok"
8012.875191,1.000000,0,0,"ok"
8012.895193,1.000000,0,0,"ok"
8012.915198,1.000000,0,0,"ok"
8012.935218,1.000000,0,0,"ok"
8012.955568,1.000000,0,0,"ok"
8012.975438,1.000000,0,0,"ok"
8012.995193,1.000000,0,0,"ok"
8013.015205,1.000000,0,0,"ok"
8013.037348,1.000000,0,0,"ok"
8013.055207,1.000000,0,0,"ok"
8013.075236,1.000000,0,0,"ok"
8013.095206,1.000000,0,0,"ok"
8013.115203,1.000000,0,0,"ok"
8013.135193,1.000000,0,0,"ok"
8013.155190,1.000000,0,0,"ok"
8013.175202,1.000000,0,0,"ok"
8013.195187,1.000000,0,0,"ok"
8013.215185,1.000000,0,0,"ok"
8013.235164,1.000000,0,0,"ok"
8013.255180,1.000000,0,0,"ok"
8013.275184,1.000000,0,0,"ok"
8013.295179,1.000000,0,0,"ok"
8013.315182,1.000000,0,0,"ok"
8013.335166,1.000000,0,0,"ok"
8013.355216,1.000000,0,0,"ok"
8013.375212,1.000000,0,0,"ok"
8013.395179,1.000000,0,0,"ok"
8013.415204,1.000000,0,0,"ok"
8013.435179,1.000000,0,0,"ok"
8013.455182,1.000000,0,0,"ok"
8013.475180,1.000000,0,0,"ok"
8013.495215,1.000000,0,0,"ok"
8013.515203,1.000000,0,0,"ok"
8013.535119,1.000000,0,0,"ok"
8013.555174,1.000000,0,0,"ok"
8013.575192,1.000000,0,0,"ok"
8013.595177,1.000000,0,0,"ok"
8013.615171,1.000000,0,0,"ok"
8013.635171,1.000000,0,0,"ok"
8013.655166,1.000000,0,0,"ok"
8013.675174,1.000000,0,0,"ok"
8013.695202,1.000000,0,0,"ok"
8013.715297,1.000000,0,0,"ok"
8013.735433,1.000000,0,0,"ok"
8013.755169,1.000000,0,0,"ok"
8013.775168,1.000000,0,0,"ok"
