t,dq_left_hip_pitch_joint,dq_left_hip_roll_joint,dq_left_hip_yaw_joint,dq_left_knee_joint,dq_left_ankle_pitch_joint,dq_left_ankle_roll_joint,dq_right_hip_pitch_joint,dq_right_hip_roll_joint,dq_right_hip_yaw_joint,dq_right_knee_joint,dq_right_ankle_pitch_joint,dq_right_ankle_roll_joint,dq_waist_yaw_joint,dq_waist_pitch_joint,dq_waist_roll_joint,dq_left_shoulder_pitch_joint,dq_left_shoulder_roll_joint,dq_left_shoulder_yaw_joint,dq_left_elbow_joint,dq_left_wrist_yaw_joint,dq_left_wrist_pitch_joint,dq_left_wrist_roll_joint,dq_right_shoulder_pitch_joint,dq_right_shoulder_roll_joint,dq_right_shoulder_yaw_joint,dq_right_elbow_joint,dq_right_wrist_yaw_joint,dq_right_wrist_pitch_joint,dq_right_wrist_roll_joint,dq_head_yaw_joint,dq_head_pitch_joint
8004.575547,0.128204,0.152626,0.054945,-0.286936,0.030525,-0.164835,0.225885,0.054945,-0.115995,-0.262516,-0.042734,0.042734,-0.079365,0.068205,0.061021,-0.030525,-0.006105,-0.238094,-0.018314,-0.042734,0.051283,-0.007326,0.006105,-0.018314,0.360195,0.006105,0.152626,0.139194,-0.095238,0.003069,0.000000
8004.595467,0.201466,0.128204,0.067156,-0.286936,0.006105,-0.140415,0.274725,0.054945,-0.091576,-0.299145,-0.091576,0.091576,-0.042734,0.145630,0.066104,-0.030525,0.006105,-0.311356,-0.006105,-0.067156,0.065933,-0.007326,-0.006105,-0.006105,0.311356,-0.006105,0.323565,0.109890,-0.095238,0.003069,0.000000
8004.615440,0.213675,0.128204,0.103785,-0.347986,0.030525,-0.152626,0.238094,0.054945,-0.079365,-0.286936,-0.103785,0.103785,-0.006105,0.086511,0.040797,-0.006105,-0.006105,-0.457876,-0.006105,-0.067156,0.109890,-0.007326,0.006105,-0.006105,0.286936,-0.006105,0.421246,0.109890,-0.095238,0.003069,0.000000
8004.635494,0.152626,0.042734,0.006105,-0.335775,0.042734,-0.115995,0.189255,0.018314,-0.091576,-0.286936,-0.103785,0.054945,-0.018314,0.082013,-0.015472,0.006105,0.018314,-0.543346,0.006105,-0.018314,0.109890,-0.007326,0.006105,-0.018314,0.360195,0.006105,0.238094,0.109890,-0.109890,0.003069,0.000000
8004.655458,0.054945,-0.018314,0.006105,-0.323565,0.067156,-0.079365,0.152626,0.018314,-0.103785,-0.311356,-0.030525,0.054945,-0.067156,0.022785,-0.000030,-0.018314,-0.030525,-0.225885,-0.018314,-0.006105,0.095238,-0.007326,0.006105,-0.006105,0.396826,-0.018314,0.042734,0.065933,-0.095238,0.009206,0.000000
8004.675479,0.006105,0.054945,0.030525,-0.311356,0.152626,-0.067156,0.091576,0.006105,-0.140415,-0.286936,-0.030525,0.018314,-0.054945,0.031915,-0.020572,-0.030525,-0.006105,-0.274725,-0.018314,-0.018314,0.065933,-0.007326,0.006105,-0.006105,0.409035,-0.006105,0.067156,0.109890,-0.065933,0.003069,0.000000
8004.695463,0.018314,0.067156,0.054945,-0.335775,0.177046,-0.079365,0.067156,-0.006105,-0.115995,-0.262516,-0.006105,0.006105,-0.115995,0.004558,-0.000009,-0.091576,-0.006105,-0.311356,-0.018314,-0.030525,0.051283,-0.007326,0.042734,-0.006105,0.323565,-0.042734,0.030525,0.080585,-0.065933,0.003069,0.000000
8004.715829,0.006105,0.054945,0.115995,-0.323565,0.262516,-0.006105,0.091576,0.006105,-0.128204,-0.372406,-0.006105,0.018314,-0.079365,-0.050181,0.061686,-0.067156,-0.006105,-0.396826,-0.006105,-0.079365,0.036631,-0.007326,0.054945,-0.006105,0.274725,0.006105,0.042734,0.109890,-0.080585,0.003069,0.000000
8004.735486,-0.006105,0.115995,0.128204,-0.299145,0.286936,-0.042734,0.140415,0.054945,-0.054945,-0.396826,0.054945,0.006105,-0.030525,-0.009152,0.076984,-0.054945,-0.018314,-0.433455,-0.006105,-0.128204,0.080585,-0.007326,0.006105,-0.054945,0.311356,0.006105,0.054945,0.139194,-0.080585,0.003069,0.000000
8004.755406,0.030525,0.115995,0.152626,-0.323565,0.311356,-0.018314,0.103785,0.067156,-0.042734,-0.335775,0.115995,-0.030525,-0.042734,-0.059257,0.061594,-0.006105,-0.067156,-0.262516,-0.006105,-0.213675,0.095238,-0.007326,-0.006105,-0.067156,0.347986,-0.006105,0.054945,0.080585,-0.109890,0.003069,0.000000
8004.775515,0.018314,0.067156,0.115995,-0.323565,0.274725,-0.054945,0.128204,0.018314,-0.103785,-0.396826,0.177046,-0.042734,-0.042734,-0.054675,0.056393,0.006105,0.006105,-0.347986,-0.006105,-0.274725,0.109890,-0.007326,0.006105,-0.042734,0.335775,-0.030525,0.103785,0.095238,-0.095238,0.003069,0.000000
8004.795447,0.018314,0.018314,0.042734,-0.274725,0.225885,-0.018314,0.091576,-0.006105,-0.103785,-0.274725,0.140415,-0.018314,-0.079365,-0.045564,0.015314,-0.030525,0.042734,-0.445665,-0.018314,-0.225885,0.095238,-0.007326,-0.006105,-0.042734,0.213675,-0.030525,0.091576,0.080585,-0.080585,0.003069,0.000000
8004.815410,0.018314,0.030525,0.067156,-0.238094,0.201466,-0.018314,0.067156,-0.006105,-0.152626,-0.177046,0.067156,-0.030525,-0.054945,-0.009110,0.005109,-0.006105,0.018314,-0.470085,-0.006105,-0.177046,0.051283,-0.007326,-0.018314,-0.030525,0.225885,-0.079365,0.067156,0.080585,-0.095238,0.003069,0.000000
8004.836902,0.042734,0.018314,0.067156,-0.262516,0.164835,-0.042734,0.091576,-0.054945,-0.091576,-0.177046,0.103785,-0.091576,-0.115995,-0.041013,-0.000085,-0.006105,0.006105,-0.360195,-0.006105,-0.079365,0.080585,0.007326,-0.006105,-0.006105,0.225885,-0.091576,0.115995,0.065933,-0.065933,0.003069,0.000000
8004.855476,0.067156,0.018314,0.067156,-0.238094,0.152626,-0.054945,0.115995,-0.030525,-0.006105,-0.213675,0.091576,-0.042734,-0.128204,-0.027327,0.015317,0.006105,-0.018314,-0.189255,-0.006105,-0.030525,0.065933,-0.007326,0.006105,-0.006105,0.360195,-0.054945,0.299145,0.124542,-0.065933,0.003069,0.000000
8004.875434,0.079365,0.018314,0.042734,-0.213675,0.091576,-0.042734,0.152626,-0.018314,-0.018314,-0.238094,0.054945,0.018314,-0.091576,0.004565,0.010261,-0.006105,-0.006105,-0.262516,-0.006105,-0.042734,0.080585,-0.007326,0.006105,-0.006105,0.384615,-0.018314,0.518925,0.109890,-0.095238,0.003069,0.000000
8004.895479,0.152626,0.006105,0.067156,-0.238094,0.054945,-0.030525,0.164835,-0.006105,-0.006105,-0.213675,-0.006105,0.006105,-0.042734,0.022835,0.061554,-0.018314,0.042734,-0.445665,-0.006105,-0.079365,0.109890,0.021978,-0.006105,-0.006105,0.274725,-0.030525,0.262516,0.080585,-0.109890,0.003069,0.000000
8004.915571,0.238094,0.006105,0.091576,-0.286936,0.030525,-0.018314,0.238094,0.006105,-0.006105,-0.250305,-0.006105,0.006105,-0.006105,0.104948,0.143815,-0.006105,0.030525,-0.470085,-0.006105,-0.054945,0.095238,0.036631,-0.006105,-0.006105,0.262516,-0.030525,0.042734,0.109890,-0.095238,0.003069,0.000000
8004.935444,0.213675,0.006105,0.054945,-0.274725,0.006105,-0.018314,0.250305,0.006105,0.006105,-0.299145,-0.006105,0.006105,-0.018314,0.041060,0.041149,0.006105,-0.018314,-0.347986,-0.006105,-0.018314,0.080585,0.007326,0.006105,-0.006105,0.189255,-0.006105,0.018314,0.080585,-0.109890,0.003069,0.000000
