t,a_il_0,a_il_1,a_il_2,a_il_3,a_il_4,a_il_5,a_il_6,a_il_7,a_il_8,a_il_9,a_il_10,a_il_11,a_il_12,a_il_13,a_il_14,a_il_15,a_il_16,a_il_17,a_il_18,a_il_19,a_il_20,a_il_21,a_il_22,a_il_23,a_il_24,a_il_25,a_il_26,a_il_27,a_il_28,a_il_29,a_il_30
8004.855476,0.622611,0.708299,-0.177877,-0.059527,-0.330621,0.050502,0.343998,-0.400502,-0.071475,-2.010050,-1.946808,-2.465416,-0.226028,0.017615,0.018723,-0.032593,0.961683,0.141857,-0.030059,-0.344622,0.422336,-1.561101,1.400615,-0.024068,-0.203773,-0.405341,0.515522,11.614890,-8.794749,2.737410,-5.564117
8004.875434,0.620463,0.706084,-0.171598,-0.063875,-0.317954,0.073355,0.346252,-0.409749,-0.034710,-2.007901,-1.944662,-2.429302,-0.223821,0.001601,0.011758,-0.045553,0.950125,0.137746,-0.034135,-0.352766,0.405662,-1.560802,1.397341,-0.028881,-0.214282,-0.405875,0.513156,11.581679,-8.943996,2.727403,-5.684361
8004.895479,0.591623,0.725411,-0.161507,-0.068613,-0.311073,0.092647,0.356133,-0.423059,0.003123,-2.017946,-1.940836,-2.383492,-0.218446,-0.007636,-0.003445,-0.058130,0.926210,0.139388,-0.039431,-0.355258,0.389250,-1.554366,1.402219,-0.029809,-0.214807,-0.407964,0.512439,11.537486,-9.089137,2.727793,-5.800415
8004.915571,0.561606,0.768092,-0.148557,-0.077886,-0.315703,0.111283,0.351815,-0.466288,-0.049677,-2.036081,-1.920789,-2.339327,-0.210552,-0.031632,-0.034599,-0.088952,0.902543,0.126089,-0.047588,-0.345673,0.389945,-1.554965,1.411572,-0.033826,-0.226541,-0.390385,0.528818,11.482169,-9.221689,2.738584,-5.939106
8004.935444,0.543915,0.757885,-0.136230,-0.060688,-0.295745,0.129799,0.351518,-0.502523,-0.071231,-2.059933,-1.889762,-2.304719,-0.197482,-0.034431,-0.059776,-0.096952,0.895654,0.127566,-0.043464,-0.338004,0.379270,-1.550568,1.415238,-0.022552,-0.241488,-0.384832,0.529899,11.424158,-9.365575,2.752028,-6.069571
8004.955473,0.548209,0.735475,-0.149172,-0.045636,-0.265944,0.195088,0.352712,-0.510171,-0.052141,-2.065540,-1.878202,-2.289958,-0.208958,-0.017868,-0.065805,-0.069326,0.896818,0.124944,-0.052120,-0.332535,0.346424,-1.560433,1.413711,-0.026564,-0.232660,-0.384217,0.535019,11.368092,-9.510225,2.752774,-6.181466
8004.975398,0.547499,0.742612,-0.155710,-0.051357,-0.266884,0.192300,0.351780,-0.508299,-0.036548,-2.051194,-1.874514,-2.275718,-0.225122,-0.005368,-0.032224,-0.004901,0.901772,0.121233,-0.060953,-0.322698,0.309645,-1.564932,1.413426,-0.035878,-0.210898,-0.390140,0.532799,11.324925,-9.660114,2.756652,-6.282969
8004.995471,0.581998,0.727134,-0.156731,-0.048330,-0.241347,0.179782,0.362908,-0.494953,0.038626,-2.025604,-1.875918,-2.261590,-0.227057,-0.010132,0.026582,0.075145,0.904703,0.115713,-0.051396,-0.323368,0.267677,-1.569629,1.405829,-0.028269,-0.220515,-0.398267,0.530302,11.296115,-9.804012,2.762660,-6.365613
8005.015486,0.615175,0.718603,-0.142965,-0.046070,-0.217463,0.118138,0.388315,-0.483504,0.110262,-1.991739,-1.861806,-2.250278,-0.216465,-0.037321,0.061400,0.102226,0.897923,0.120952,-0.040252,-0.333350,0.241360,-1.573468,1.396534,-0.021848,-0.246954,-0.404370,0.540785,11.282048,-9.942205,2.775879,-6.452641
8005.035395,0.655206,0.696465,-0.149531,-0.023704,-0.189496,0.066881,0.394480,-0.480651,0.105677,-1.977660,-1.823887,-2.240593,-0.217667,-0.021854,0.062259,0.107715,0.896865,0.115610,-0.040795,-0.355825,0.215913,-1.580255,1.400275,-0.030490,-0.236433,-0.408013,0.529048,11.274364,-10.090534,2.795296,-6.564315
