t,qw,qx,qy,qz,wx,wy,wz
8007.695886,-0.454636,0.010965,0.005574,0.890593,-0.002397,0.010046,0.001613
8007.715381,-0.454605,0.010882,0.005496,0.890610,0.006160,0.006489,-0.001883
8007.735323,-0.454592,0.010781,0.005462,0.890618,-0.002460,0.014029,0.004256
8007.755307,-0.454598,0.010690,0.005419,0.890616,0.005047,-0.003919,-0.004236
8007.775370,-0.454578,0.010667,0.005436,0.890626,0.006845,-0.002278,-0.004504
8007.795413,-0.454591,0.010633,0.005489,0.890620,0.010677,0.006074,-0.000331
8007.815383,-0.454603,0.010568,0.005514,0.890615,0.007943,-0.001167,0.001581
8007.835362,-0.454600,0.010441,0.005560,0.890617,0.005561,-0.000944,0.002915
8007.855368,-0.454594,0.010410,0.005623,0.890620,0.002061,-0.001314,-0.001295
8007.875304,-0.454609,0.010452,0.005731,0.890611,0.007298,-0.008377,0.000031
8007.895317,-0.454619,0.010561,0.005874,0.890604,0.007562,-0.020071,0.000070
8007.918681,-0.454608,0.010695,0.006000,0.890607,0.005713,-0.022260,-0.003613
8007.935583,-0.454597,0.010868,0.006130,0.890610,0.005385,-0.020135,-0.003633
8007.955364,-0.454600,0.011003,0.006253,0.890606,0.007414,-0.015846,-0.005788
8007.975289,-0.454587,0.011133,0.006370,0.890610,0.006890,-0.025663,0.001698
8007.995379,-0.454575,0.011288,0.006506,0.890613,0.005492,-0.024661,-0.003600
8008.015340,-0.454577,0.011428,0.006632,0.890610,0.007418,-0.025659,0.001693
8008.035916,-0.454572,0.011637,0.006833,0.890608,0.004842,-0.027813,0.004903
8008.055362,-0.454504,0.011782,0.007010,0.890639,0.005873,-0.019082,-0.007346
8008.075354,-0.454510,0.011883,0.007142,0.890634,0.006948,-0.014747,0.006683
8008.095362,-0.454577,0.011979,0.007290,0.890597,0.011389,-0.013046,0.001601
8008.115448,-0.454608,0.012063,0.007420,0.890579,0.007915,-0.008568,0.012495
8008.135360,-0.454946,0.011983,0.007476,0.890407,0.005632,0.012677,0.016930
8008.155358,-0.454954,0.011882,0.007530,0.890404,0.004980,0.011780,-0.000577
8008.175344,-0.454968,0.011752,0.007512,0.890399,0.004581,0.020041,0.003628
8008.195356,-0.455017,0.011589,0.007480,0.890376,-0.000891,0.015690,0.008740
8008.215376,-0.455058,0.011490,0.007475,0.890356,0.001282,0.013606,0.006868
8008.235414,-0.455070,0.011424,0.007461,0.890351,-0.000268,0.009019,-0.001319
8008.255322,-0.455062,0.011422,0.007461,0.890355,-0.004272,-0.002251,0.000342
